"Symptom Type","Reporter Comment"
"4 - Quality Issue - Functional","added washers behind recovery tank latch so it would close properly."
"1 - Performance Loss","Faults not cleared "
"4 - Quality Issue - Functional","engine code 36
"
"2 - Quality Issue - Appearance","R/H Hopper Hinge Weld't has scuff marks."
"2 - Quality Issue - Appearance","Recover Tank Plate has corrosion."
"5 - Quality Issue - Assembly","Prop Rod doesn't unlatch when trying to lower Hopper."
"2 - Quality Issue - Appearance","Prop Rod has scuff and scratch marks."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on multiple hardware."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on multiple hardware."
"2 - Quality Issue - Appearance","Surface ""B"" has multiple stain marks, and pin holes."
"2 - Quality Issue - Appearance","Surface ""B"" has multiple stain marks, and pin holes."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on multiple hardware."
"5 - Quality Issue - Assembly","C-Clamp needs hardware for spacers"
"2 - Quality Issue - Appearance","Appearance Issue: Pin Holes. Unable to insert last photo; location: engine cover marked w/ tape "
"3 - Quality Issue - Supplier","Critical Issue: Power Cable is not set to the correct position. 10am and 12pm"
"3 - Quality Issue - Supplier","CRITICAL ISSUE: Warp on Solution Tank. Please contact Kathy, Eric and Sajid before closing Production Issue. "
"5 - Quality Issue - Assembly","CRITICAL ISSUE: Warp on Solution Tank. Please contact Kathy, Eric and Sajid before closing Production Issue. "
"2 - Quality Issue - Appearance","Critical Issue: Deep gouges on the Recovery tank & Solution tank & Hopper cover marked w/ tap. "
"2 - Quality Issue - Appearance","Critical Issue: Deep gouges on the Recovery tank & Solution tank & Hopper cover marked w/ tap. "
"2 - Quality Issue - Appearance","fail hot test EGO2 value is NG"
"2 - Quality Issue - Appearance","harness behind wheel need to be replaced. 
"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"2 - Quality Issue - Appearance","Oil residue on hydraulic pump and fittings; on and under"
"2 - Quality Issue - Appearance","Recovery tank ball dirty."
"4 - Quality Issue - Functional","Coolant leak."
"4 - Quality Issue - Functional","Oil rod does not go back in smoothly."
"2 - Quality Issue - Appearance","Missing UV Marks on hardware. Located on OHG, engine fan, front hopper and recovery tank & cover."
"5 - Quality Issue - Assembly","Missing UV Marks on hardware. Located on OHG, engine fan, front hopper and recovery tank & cover."
"5 - Quality Issue - Assembly","Missing UV Marks on hardware. Located on OHG, engine fan, front hopper and recovery tank & cover."
"1 - Performance Loss","No broom idler assy from sub 1. Sub 1 does not have parts to build it."
"2 - Quality Issue - Appearance","Hopper Dust Filter is dirty."
"2 - Quality Issue - Appearance","Hydraulic Pump, Drive Wheel Fittings, have oil residue underneath and on them."
"2 - Quality Issue - Appearance","Recovery Tank is binding against Hopper Lift Cylinder when opening and closing."
"4 - Quality Issue - Functional","Recovery Tank is binding against Hopper Lift Cylinder when opening and closing."
"2 - Quality Issue - Appearance","Float, Ball is dirty."
"2 - Quality Issue - Appearance","Decals are detaching, has residual glue on them, and/or installed crooked."
"5 - Quality Issue - Assembly","Decals are detaching, has residual glue on them, and/or installed crooked."
"5 - Quality Issue - Assembly","Decals are detaching, has residual glue on them, and/or installed crooked."
"2 - Quality Issue - Appearance","Exterior Surface ""A"" has dents, scratches, and dirt stains."
"2 - Quality Issue - Appearance","Exterior Surface ""A"" has dents, scratches, and dirt stains."
"5 - Quality Issue - Assembly","Decals are missing, including Prop 65 Decal."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on hardware."
"4 - Quality Issue - Functional","put washers behind recovery tank latch so it would close properly."
"1 - Performance Loss","Still missing housing valve from sub 2."
"1 - Performance Loss","Still missing housing valve from sub 2."
"5 - Quality Issue - Assembly","Missing edc battery cable "
"3 - Quality Issue - Supplier","Back-Up Alarm does not work."
"1 - Performance Loss","missing engine cover, intermediate cover, and litter vac"
"1 - Performance Loss","missing engine cover, intermediate cover, and litter vac"
"5 - Quality Issue - Assembly","Missing rear roller bumper kit.
"
"4 - Quality Issue - Functional","Prop rod not swinging feely."
"5 - Quality Issue - Assembly","Missing UV Marks; Recovery tank filter"
"2 - Quality Issue - Appearance","Critical Issue: Unable to remove Battery Stop"
"3 - Quality Issue - Supplier","Critical Issue: Unable to remove Battery Stop"
"3 - Quality Issue - Supplier","Critical Issue: Unable to remove Battery Stop"
"5 - Quality Issue - Assembly","Critical Issue: Unable to remove Battery Stop"
"2 - Quality Issue - Appearance","Critical Issue: Hopper fap is damaged"
"3 - Quality Issue - Supplier","Critical Issue: Mist Spray does not function. "
"3 - Quality Issue - Supplier","Critical Issue: System primed correctly"
"2 - Quality Issue - Appearance","Surface A/B: Gouges
Hopper Cover has scratches; unable to see on photo. Marked w/ tap"
"5 - Quality Issue - Assembly","Critical Issue: Loose Screw"
"2 - Quality Issue - Appearance","Surface A: Pin Holes"
"3 - Quality Issue - Supplier"," need to replace steering column weldment have scratches."
"4 - Quality Issue - Functional"," need to replace steering column weldment have scratches."
"2 - Quality Issue - Appearance","Crack in drain hose cap"
"1 - Performance Loss","Extra metal clips on rec tank hose clamps"
"5 - Quality Issue - Assembly","Prop-65 Decal is not installed."
"2 - Quality Issue - Appearance","Damages on front bumper top right."
"2 - Quality Issue - Appearance","Damages on front bumper top right."
"2 - Quality Issue - Appearance","Right door bracket rubbing on plastic; metal on plastic."
"2 - Quality Issue - Appearance","Dents and damages to upper hopper."
"2 - Quality Issue - Appearance","Dents and damages to upper hopper."
"2 - Quality Issue - Appearance","Dump door gap did not pass test."
"2 - Quality Issue - Appearance","Recovery tank is not flushed with solution tank."
"4 - Quality Issue - Functional","Eco-flex not primed."
"5 - Quality Issue - Assembly","Test squeegee still on; need new squeegee."
"2 - Quality Issue - Appearance","Debris in recovery tank."
"5 - Quality Issue - Assembly","Missing back up alarm decal. "
"2 - Quality Issue - Appearance","Paint on prop rod latch handle."
"2 - Quality Issue - Appearance","Paint on prop rod latch handle."
"5 - Quality Issue - Assembly","Missing beacon for OHG."
"5 - Quality Issue - Assembly","Missing serial number decal for OHG."
"2 - Quality Issue - Appearance","Paint on dust guard nozzles."
"2 - Quality Issue - Appearance","Paint on dust guard nozzles."
"5 - Quality Issue - Assembly","Missing UV marks"
"4 - Quality Issue - Functional","Fault history not cleared"
"4 - Quality Issue - Functional","Fault history not cleared "
"5 - Quality Issue - Assembly","MMC panel not installed correctly"
"5 - Quality Issue - Assembly","Top left wire loose"
"5 - Quality Issue - Assembly","computers not letting me create box labels"
"4 - Quality Issue - Functional","Grammar seat sensor not working"
"4 - Quality Issue - Functional","added washers behind recovery tank latch so it would close properly."
"1 - Performance Loss","Missing valve housing from sub 2. Part # 7-88-00077"
"2 - Quality Issue - Appearance","Decal is damaged"
"5 - Quality Issue - Assembly","Scrub deck is loose"
"5 - Quality Issue - Assembly","Hopper cover is sqeaking"
"5 - Quality Issue - Assembly","Pump is not primed"
"5 - Quality Issue - Assembly","Loose bolt right side bottom."
"2 - Quality Issue - Appearance","Dirty Side Squeegees"
"1 - Performance Loss","missing bulb seal on engine cover."
"4 - Quality Issue - Functional","Recovery tank cover prop rod does not swing freely."
"2 - Quality Issue - Appearance","Right Nilfisk decal dirty."
"2 - Quality Issue - Appearance","Recovery tank cover dirty."
"2 - Quality Issue - Appearance","Plastic shavings in recovery tank filter."
"1 - Performance Loss","missing the 7-60-05027 pump. Not able to complete the build without it"
"4 - Quality Issue - Functional","added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","Missing UV marks"
"4 - Quality Issue - Functional","Drive time not at 0.3"
"4 - Quality Issue - Functional","No water/solution coming out of scrub deck."
"2 - Quality Issue - Appearance","Decal is not centered with steering wheel."
"2 - Quality Issue - Appearance","Plastic shavings in recovery tank filter."
"5 - Quality Issue - Assembly","Missing UV marks"
"2 - Quality Issue - Appearance","Plastic shavings in recovery tank filter"
"5 - Quality Issue - Assembly","Missing UV Marks"
"1 - Performance Loss","missing litter vac kit"
"1 - Performance Loss","missing litter vac kit"
"1 - Performance Loss","missing seat support and intermediate cover"
"1 - Performance Loss","missing seat support and intermediate cover"
"2 - Quality Issue - Appearance","Critical Issue: Hydraulic residue on fitting "
"2 - Quality Issue - Appearance","Surface A/B: Scratches and gouges "
"5 - Quality Issue - Assembly","Missing UV marks"
"4 - Quality Issue - Functional","rear squeegee doesn't raise when reversing"
"3 - Quality Issue - Supplier","Critical Issue: Mist Spray does not function correctly "
"2 - Quality Issue - Appearance","Discoloration on Hopper cover. Unable to insert photo"
"5 - Quality Issue - Assembly","Loose static strap"
"2 - Quality Issue - Appearance","Surface A: Gouges "
"2 - Quality Issue - Appearance","Critical Issue: EcoFlex bottle damaged"
"3 - Quality Issue - Supplier","Critical Issue: System is not primed correctly. Blue or Purple Washer Fluid is needed."
"3 - Quality Issue - Supplier","Critical Issue: System is not primed correctly. Blue or Purple Washer Fluid is needed."
"5 - Quality Issue - Assembly","Missing Decal"
"2 - Quality Issue - Appearance","Surface A: Pin Holes on Recovery Tank"
"2 - Quality Issue - Appearance","Appearances Issue: Dirty or Discoloration "
"5 - Quality Issue - Assembly","Missing UV marks"
"5 - Quality Issue - Assembly","missing/waiting on battery tray. "
"3 - Quality Issue - Supplier","water symbol on panel blinks when solution tank water is full."
"5 - Quality Issue - Assembly","headlight is loose. "
"5 - Quality Issue - Assembly","missing/ waiting on battery tray."
"3 - Quality Issue - Supplier","water symbol on panel keeps blinking when solution tank is full. "
"1 - Performance Loss","missing seat support and intermediate cover"
"1 - Performance Loss","missing seat support and intermediate cover"
"2 - Quality Issue - Appearance","Appearances Issue: Shaving inside recovery tank filter"
"5 - Quality Issue - Assembly","Surface A: Missing Decal"
"2 - Quality Issue - Appearance","Surface A: Serial Decal Damaged"
"3 - Quality Issue - Supplier","Marks on mirror from rear screws"
"2 - Quality Issue - Appearance","Radiator residue "
"2 - Quality Issue - Appearance","Radiator residue "
"5 - Quality Issue - Assembly","Critical Issue: LP tank is hitting against bolts when lifting up"
"5 - Quality Issue - Assembly","Critical Issue: Hopper latch holder is loose"
"5 - Quality Issue - Assembly","Missing UV marks on all bolts for the overhead guard "
"2 - Quality Issue - Appearance","Appearances Issue: Radiator has black paint chipping  "
"2 - Quality Issue - Appearance","Appearances Issue: Radiator has black paint chipping  "
"5 - Quality Issue - Assembly","Missing additional clamp."
"5 - Quality Issue - Assembly","missing hopper"
"5 - Quality Issue - Assembly","waiting on side broom and literature pack. 
"
"5 - Quality Issue - Assembly","missing battery tray. 

.
"
"5 - Quality Issue - Assembly","coolant leak by radiator "
"2 - Quality Issue - Appearance","Recovery tank is still dirty"
"2 - Quality Issue - Appearance","Paint Chipped"
"2 - Quality Issue - Appearance","Hopper decal damaged"
"2 - Quality Issue - Appearance","Hopper decal damaged"
"3 - Quality Issue - Supplier","Mist Spray does not function correctly "
"5 - Quality Issue - Assembly","Missing Filter"
"2 - Quality Issue - Appearance","Surface A: Scratches marks on the side of solution tank. Marked W/ tape"
"5 - Quality Issue - Assembly","Missing UV marks"
"2 - Quality Issue - Appearance","Recovery tank filter have shaving"
"3 - Quality Issue - Supplier","Critical Issue: Extremely hard to install and remove battery bar. "
"3 - Quality Issue - Supplier","Critical Issue: Extremely hard to install and remove battery bar. "
"5 - Quality Issue - Assembly","Critical Issue: Extremely hard to install and remove battery bar. "
"3 - Quality Issue - Supplier","Service Manual does not call for green led lights"
"2 - Quality Issue - Appearance","Surface A: Recovery tank cover is dirty/ discoloration."
"2 - Quality Issue - Appearance","Surface A: Recovery tank cover is dirty/ discoloration."
"4 - Quality Issue - Functional","put washers behind recovery tank latch so it would close properly."
"1 - Performance Loss","2 bearing is miss on the weldment. (56507941)"
